"year","month","exam_type","region","paper","title","prompt_text","genre","word_range","tags","source","is_active"
"2015","06","cet4","全国","2015-06-set-1","大学英语四级写作真题 2015-06 第1套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on this kind of modern life. You should write at least 120 words but no more than 180 words. ""This modern life: work, play, sleep.""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","06","cet4","全国","2015-06-set-2","大学英语四级写作真题 2015-06 第2套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on the kid's understanding of going to school. You should write at least 120 words but no more than 180 words. Write your essay on Answer Sheet 1. ""Why am I going to school if my phone already knows everything?""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","06","cet4","全国","2015-06-set-3","大学英语四级写作真题 2015-06 第3套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on parents' role in their children's growth. You should write at least 120 words but no more than 180 words. Write your essay on Answer Sheet 1. ""Good news, Mom! I was accepted to the college of your choice.""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-1","大学英语四级写作真题 2015-12 第1套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Learning is a daily experience and a lifetime mission."" You can cite examples to illustrate the importance of lifelong learning. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-2","大学英语四级写作真题 2015-12 第2套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Listening is more important than talking."" You can cite examples to illustrate the importance of paying attention to others' opinions. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-3","大学英语四级写作真题 2015-12 第3套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Never go out there to see what happens, go out there to make things happen."" You can cite examples to illustrate the importance of being participants rather than mere onlookers in life. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-1","大学英语四级写作真题 2016-06 第1套","For this part, you are allowed 30 minutes to write a letter to express your thanks to one of your school teachers upon entering college. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-2","大学英语四级写作真题 2016-06 第2套","For this part, you are allowed 30 minutes to write a letter to express your thanks to one of your friends who helped you most when you were in difficulty. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-3","大学英语四级写作真题 2016-06 第3套","For this part, you are allowed 30 minutes to write a letter to express your thanks to your parents or any other family member upon making a memorable achievement. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-1","大学英语四级写作真题 2016-12 第1套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to find a job somewhere and the other to start a business of your own. You are to make a decision. Write an essay to explain the reasons for your decision. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-2","大学英语四级写作真题 2016-12 第2套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to take a job in a company and the other to go to a graduate school. You are to make a choice between the two. Write an essay to explain the reasons for your choice. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-3","大学英语四级写作真题 2016-12 第3套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to work in a state-owned business and the other in a joint venture. You are to make a choice between the two. Write an essay to explain the reasons for your choice. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-1","大学英语四级写作真题 2017-06 第1套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell a bicycle you used at college. Your advertisement may include its brand, features, condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-2","大学英语四级写作真题 2017-06 第2套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell some of the course books you used at college. Your advertisement may include a brief description of their content, their condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-3","大学英语四级写作真题 2017-06 第3套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell a computer you used at college. Your advertisement may include its brand, specifications/features, content, their condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-1","大学英语四级写作真题 2017-12 第1套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between parents and children. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-2","大学英语四级写作真题 2017-12 第2套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between teachers and students. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-3","大学英语四级写作真题 2017-12 第3套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between doctors and patients. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-1","大学英语四级写作真题 2018-06 第1套","For this part, you are allowed 30 minutes to write a short essay on the importance of reading ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-2","大学英语四级写作真题 2018-06 第2套","For this part, you are allowed 30 minutes to write a short essay on the importance of writing ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-3","大学英语四级写作真题 2018-06 第3套","For this part, you are allowed 30 minutes to write a short essay on the importance of speaking ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-1","大学英语四级写作真题 2018-12 第1套","For this part, you are allowed 30 minutes to write a short essay on the challenges of living in a big city. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-2","大学英语四级写作真题 2018-12 第2套","For this part, you are allowed 30 minutes to write a short essay on the challenges of studying abroad. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-3","大学英语四级写作真题 2018-12 第3套","For this part, you are allowed 30 minutes to write a short essay on the challenges of starting a career after graduation. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-1","大学英语四级写作真题 2019-06 第1套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a local farm organized by your Student Union. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-2","大学英语四级写作真题 2019-06 第2套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a Hope elementary school organized by your Student Union. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-3","大学英语四级写作真题 2019-06 第3套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a volunteer activity organized by your Student Union to assist elderly people in the neighborhood. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-1","大学英语四级写作真题 2019-12 第1套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to teach English in China. Please recommend a city to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-2","大学英语四级写作真题 2019-12 第2套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to learn Chinese. Please recommend a place to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-3","大学英语四级写作真题 2019-12 第3套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to study in China. Please recommend a university to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","07","cet4","全国","2020-07-set-1","大学英语四级写作真题 2020-07 第1套","For this part, you are allowed 30 minutes to write an essay on the use of translation apps. You can start your essay with the sentence The use of translation apps is becoming increasingly popular. "" You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","09","cet4","全国","2020-09-set-1","大学英语四级写作真题 2020-09 第1套","For this part, you are allowed 30 minutes to write an essay on online libraries. You can start your essay with the sentence ""Online libraries are becoming increasingly popular"". You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","09","cet4","全国","2020-09-set-2","大学英语四级写作真题 2020-09 第2套","For this part, you are allowed 30 minutes to write an essay on the use of PowerPoint(PPT) in class. You can start your essay with the sentence ""The use of PowerPoint is becoming increasingly popular in class"". You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","09","cet4","全国","2020-09-set-3","大学英语四级写作真题 2020-09 第3套","For this part, you are allowed 30 minutes to write an essay on online dictionaries. You can start your essay with the sentence ""Online dictionaries are becoming increasingly popular."" You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","12","cet4","全国","2020-12-set-1","大学英语四级写作真题 2020-12 第1套","For this part, you are allowed 30 minutes to write on the topic Changes in the Way of Education. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","12","cet4","全国","2020-12-set-2","大学英语四级写作真题 2020-12 第2套","For this part, you are allowed 30 minutes to write on the topic Changes in the Way of Transportation. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","12","cet4","全国","2020-12-set-3","大学英语四级写作真题 2020-12 第3套","For this part, you are allowed 30 minutes to write on the topic Changes in the Way of Communication. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","06","cet4","全国","2021-06-set-1","大学英语四级写作真题 2021-06 第1套","For this part, you are allowed 30 minutes to write an essay titled ""Are people becoming addicted to technology?"". The statement given below is for your reference. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","06","cet4","全国","2021-06-set-2","大学英语四级写作真题 2021-06 第2套","For this part, you are allowed 30 minutes to write an essay titled ""Is technology making people lazy?"" The statement given below is for your reference. You should write at least 120 words but no more than 180 words. Many studies claim that computers distract people, make them lazy thinkers and even lower their work efficiency. Numerous studies claim that addiction to technology is real and it has the same effect on the brain as drug addiction.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","06","cet4","全国","2021-06-set-3","大学英语四级写作真题 2021-06 第3套","For this part, you are allowed 30 minutes to write an essay titled ""Do violent video games lead to violence?"" The statement given below is for your reference. You should write at least 120 words but no more than 180 words. A growing body of research finds that violent video games can make kids act aggressively in their real-world relationships, causing an increase in violence.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","12","cet4","全国","2021-12-set-1","大学英语四级写作真题 2021-12 第1套","Suppose your school is organizing an orientation program to help the freshmen adapt to the new environment and academic studies. You are now to write a proposal, which may include its aim, duration, participants and activities. You will have 30 minutes to write the proposal. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","12","cet4","全国","2021-12-set-2","大学英语四级写作真题 2021-12 第2套","Suppose your university student union is planning to hold a speech contest. You are now to write a proposal for organizing the contest. The proposal may include the topic, aim procedure and selection of contestants. You will have 30 minutes to write the proposal. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2021","12","cet4","全国","2021-12-set-3","大学英语四级写作真题 2021-12 第3套","Suppose you have just participated in a school project of collecting used books on campus. You are now to write a report about the project, which may include its aim, organizers, participants and activities. You will have 30 minutes to write the report. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","06","cet4","全国","2022-06-set-1","大学英语四级写作真题 2022-06 第1套","Suppose you are going to write a proposal to your school library for improving its service. You are to write about its current problems and possible solutions to these problems. You will have 30 minutes to write the proposal. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","06","cet4","全国","2022-06-set-2","大学英语四级写作真题 2022-06 第2套","Suppose you are going to write a proposal to your student union for enriching students' extracurricular activities. You are to write about what activities to organize and why. You will have 30 minutes to write the proposal. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","06","cet4","全国","2022-06-set-3","大学英语四级写作真题 2022-06 第3套","Suppose you are going to write a proposal to your school clinic for improving its service. You are to write about its current problems and possible solutions to these problems. You will have 30 minutes to write the proposal. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","09","cet4","全国","2022-09-set-1","大学英语四级写作真题 2022-09 第1套","Suppose your university is selecting some students to teach kids in remote rural areas during the coming vacation. You are now to write an application letter to the university to explain why you want to take part and what you can do for the kids. You will have 30 minutes to write the letter. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","09","cet4","全国","2022-09-set-2","大学英语四级写作真题 2022-09 第2套","Suppose your class has just finished celebrating the Teachers' Day. You are now to write a report to the university newspaper on the celebration activities organized by your class. You will have 30 minutes to write the report. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","09","cet4","全国","2022-09-set-3","大学英语四级写作真题 2022-09 第3套","Suppose your class plans to invite some former graduates to share their job experiences with the students. As the organizer of the activity, you are now to write an invitation letter to the invited speakers on behalf of your class. You will have 30 minutes to write the letter. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","12","cet4","全国","2022-12-set-1","大学英语四级写作真题 2022-12 第1套","In this task, you are to write an essay on the role of physical exercise in achieving success at college. You will have 30 minutes for the task You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","12","cet4","全国","2022-12-set-2","大学英语四级写作真题 2022-12 第2套","In this task, you are to write an essay on the importance of developing a healthy lifestyle among college students. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2022","12","cet4","全国","2022-12-set-3","大学英语四级写作真题 2022-12 第3套","In this task, you are to write an essay on the necessity of developing social skills for college students. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","03","cet4","全国","2023-03-set-1","大学英语四级写作真题 2023-03 第1套","Suppose you have taken part in a career planning seminar. Write an account of the seminar and summarize what you have learned from it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","03","cet4","全国","2023-03-set-2","大学英语四级写作真题 2023-03 第2套","Suppose you have read a book recently and intend to recommend it to other members of your book club via an online forum. Briefly introduce the book and explain why it is worth reading. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","03","cet4","全国","2023-03-set-3","大学英语四级写作真题 2023-03 第3套","Suppose you have attended a lecture delivered by a famous scholar. Write a report to the campus newspaper, summarizing its most important points. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","06","cet4","全国","2023-06-set-1","大学英语四级写作真题 2023-06 第1套","Suppose your university is conducting a survey to collect students' opinions on online classes. You are to write a response to the survey about their advantages and disadvantages, and what improvements can be made. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","06","cet4","全国","2023-06-set-2","大学英语四级写作真题 2023-06 第2套","Suppose the student union of your university is organizing an online discussion on interpersonal relationships. You are to write an essay on ways to maintain a warm and friendly relationship with your classmates and on the benefits of such a relationship. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","06","cet4","全国","2023-06-set-3","大学英语四级写作真题 2023-06 第3套","Suppose the student union of your university is organizing an online discussion on college students doing community service. You are to write an essay on its benefits and the service you can provide to the community. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","12","cet4","全国","2023-12-set-1","大学英语四级写作真题 2023-12 第1套","Suppose the university newspaper is inviting submissions from the students for its coming edition on a campus event that has impressed them most. You are now to write an essay for submission. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","12","cet4","全国","2023-12-set-2","大学英语四级写作真题 2023-12 第2套","Suppose the university newspaper is inviting submissions from the students for its coming edition on the recent developments in their hometown. You are now to write an essay for submission. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2023","12","cet4","全国","2023-12-set-3","大学英语四级写作真题 2023-12 第3套","Suppose the university newspaper is inviting submissions from the students for its coming edition on what in their university impresses them most. You are now to write an essay for submission. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","06","cet4","全国","2024-06-set-1","大学英语四级写作真题 2024-06 第1套","Suppose your university is seeking students' opinions on whether university libraries should be open to the public. You are now to write an essay to express your view. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","06","cet4","全国","2024-06-set-2","大学英语四级写作真题 2024-06 第2套","Suppose your university is seeking students' opinions on whether university sports facilities should be open to the public. You are now to write an essay to express your view. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","06","cet4","全国","2024-06-set-3","大学英语四级写作真题 2024-06 第3套","Suppose your university is seeking students' opinions on whether university canteens should be open to the public. You are now to write an essay to express your view. You will have 30 minutes for the task. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","12","cet4","全国","2024-12-set-1","大学英语四级写作真题 2024-12 第1套","Suppose the business school of your university is conducting a survey to collect students' opinions on the express delivery service industry in China. You are to write a response about its recent development and its impact on people's lives. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","12","cet4","全国","2024-12-set-2","大学英语四级写作真题 2024-12 第2套","Suppose the university newspaper is inviting submissions from the students for its coming edition on how to enrich students' knowledge of traditional Chinese culture. You are now to write an essay for submission. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2024","12","cet4","全国","2024-12-set-3","大学英语四级写作真题 2024-12 第3套","Suppose the university newspaper is inviting submissions from the students for its coming edition on how the students can contribute to a green campus. You are now to write an essay for submission. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2025","06","cet4","全国","2025-06-set-1","大学英语四级写作真题 2025-06 第1套","Suppose your university is seeking students' opinions on the necessity of making College Chinese a compulsory course. You are now to write an essay to express your view. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2025","06","cet4","全国","2025-06-set-2","大学英语四级写作真题 2025-06 第2套","Suppose your university is conducting a survey to collect students' opinions on the appropriate use of AI technology in assisting learning. You are now to write an essay to express your view. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2025","06","cet4","全国","2025-06-set-3","大学英语四级写作真题 2025-06 第3套","Suppose your university is organizing a forum on the development of students cross-cultural communication abilities. You are now to write an essay to express your view. You will have 30 minutes to write the essay. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
